Order time,Gross sales,Tax on gross sales,Tips,Charges,Refunds,Revenue,Revenue via Flipdish,Orders
2026-01-12,"1,939.04",90.61,0.00,0.00,0.00,"2,029.65","1,096.90",120
2026-01-11,"2,702.40",109.75,0.00,0.00,0.00,"2,812.15","1,664.67",177
2026-01-10,"2,615.66",115.18,0.00,3.54,0.00,"2,734.38","2,265.35",189
2026-01-09,"2,780.58",105.86,0.00,0.00,0.00,"2,886.44","1,839.10",194
2026-01-08,"1,593.06",45.46,0.00,6.40,0.00,"1,644.92",822.00,109
2026-01-07,"2,023.36",75.54,0.00,16.03,0.00,"2,114.93","1,085.30",134
2026-01-06,"1,633.21",59.85,0.00,0.00,0.00,"1,693.06",847.01,103
2026-01-05,"1,629.71",70.38,0.00,3.07,0.00,"1,703.16","1,031.95",112
2026-01-04,"3,690.21",161.79,0.00,6.86,0.00,"3,858.86","2,340.45",229
2026-01-03,"2,925.06",121.36,0.00,11.40,0.00,"3,057.82","2,354.85",217
2026-01-02,"2,442.13",118.80,0.00,7.54,0.00,"2,568.47","1,540.15",162
2026-01-01,"5,218.42",126.71,0.00,0.00,0.00,"5,345.13","3,668.57",321
2025-12-31,"4,362.27",0.00,0.00,25.27,0.00,"4,387.54","2,676.95",245
2025-12-30,"2,936.19",0.00,0.00,5.28,0.00,"2,941.47","1,827.58",179
2025-12-29,"2,590.03",0.00,0.00,0.00,0.00,"2,590.03","1,874.15",159
2025-12-28,"3,690.11",0.00,0.00,3.78,0.00,"3,693.89","2,382.55",210
2025-12-27,"2,179.81",0.00,0.00,7.44,0.00,"2,187.25","1,936.25",140
2025-12-26,"2,860.37",0.00,0.00,10.06,0.00,"2,870.43","1,704.30",181
2025-12-25,"4,312.01",0.00,0.00,5.38,0.00,"4,317.39","2,755.87",255
2025-12-24,"2,567.02",0.00,0.00,0.00,0.00,"2,567.02","1,464.30",149
2025-12-23,"2,437.07",0.00,0.00,7.01,0.00,"2,444.08","1,583.75",157
2025-12-22,"2,336.43",0.00,0.00,3.89,0.00,"2,340.32","1,515.65",153
2025-12-21,"3,102.82",0.00,0.00,0.00,0.00,"3,102.82","1,972.90",201
2025-12-20,"2,091.37",0.00,0.00,2.25,0.00,"2,093.62","1,765.00",145
2025-12-19,"2,920.23",0.00,0.00,0.50,0.00,"2,920.73","1,712.70",191
2025-12-18,"2,181.60",0.00,0.00,6.46,0.00,"2,188.06","1,229.00",127
2025-12-17,"1,837.05",0.00,0.00,0.50,0.00,"1,837.55",955.10,131
2025-12-16,"1,965.67",0.00,0.00,0.00,0.00,"1,965.67","1,232.10",142
2025-12-15,"1,291.51",0.00,0.00,0.00,0.00,"1,291.51","1,142.80",91
2025-12-14,"1,697.90",0.00,0.00,0.00,0.00,"1,661.40","1,661.40",116
2025-12-13,"1,306.55",0.00,0.00,0.00,0.00,"1,306.55","1,306.55",91
2025-12-12,103.95,0.00,0.00,0.00,0.00,103.95,103.95,10
2025-12-11,,,,,,,,
2025-12-10,,,,,,,,
2025-12-09,,,,,,,,
2025-12-08,,,,,,,,
2025-12-07,,,,,,,,
2025-12-06,,,,,,,,
2025-12-05,,,,,,,,
2025-12-04,,,,,,,,
2025-12-03,,,,,,,,
2025-12-02,98.25,0.00,0.00,0.00,0.00,98.25,98.25,7
2025-12-01,358.40,0.00,0.00,0.00,0.00,345.90,345.90,25
2025-11-30,,,,,,,,
2025-11-29,,,,,,,,
2025-11-28,,,,,,,,
2025-11-27,,,,,,,,
2025-11-26,,,,,,,,
2025-11-25,,,,,,,,
2025-11-24,,,,,,,,
2025-11-23,,,,,,,,
2025-11-22,,,,,,,,
2025-11-21,,,,,,,,
2025-11-20,,,,,,,,
2025-11-19,,,,,,,,
2025-11-18,,,,,,,,
2025-11-17,,,,,,,,
2025-11-16,,,,,,,,
2025-11-15,,,,,,,,
2025-11-14,,,,,,,,
2025-11-13,,,,,,,,
2025-11-12,,,,,,,,
2025-11-11,,,,,,,,
2025-11-10,,,,,,,,
2025-11-09,,,,,,,,
2025-11-08,,,,,,,,
2025-11-07,,,,,,,,
2025-11-06,,,,,,,,
2025-11-05,,,,,,,,
2025-11-04,,,,,,,,
2025-11-03,,,,,,,,
2025-11-02,,,,,,,,
2025-11-01,,,,,,,,
2025-10-31,,,,,,,,
2025-10-30,,,,,,,,
2025-10-29,,,,,,,,
2025-10-28,,,,,,,,
2025-10-27,,,,,,,,
2025-10-26,,,,,,,,
2025-10-25,,,,,,,,
2025-10-24,,,,,,,,
2025-10-23,,,,,,,,
2025-10-22,47.50,0.00,0.00,0.00,0.00,47.50,47.50,2
2025-10-21,,,,,,,,
2025-10-20,,,,,,,,
2025-10-19,,,,,,,,
2025-10-18,,,,,,,,
2025-10-17,,,,,,,,
2025-10-16,,,,,,,,
2025-10-15,77.00,0.00,0.00,0.00,0.00,77.00,77.00,6
2025-10-14,188.55,0.00,0.00,0.00,0.00,188.55,188.55,13
2025-10-13,,,,,,,,
2025-10-12,7.00,0.00,0.00,0.00,0.00,7.00,7.00,1
2025-10-11,91.00,0.00,0.00,0.00,0.00,91.00,91.00,8
2025-10-10,21.50,0.00,0.00,0.00,0.00,21.50,21.50,2
2025-10-09,38.50,0.00,0.00,0.00,0.00,38.50,38.50,3
2025-10-08,1.50,0.00,0.00,0.00,0.00,1.50,1.50,1
2025-10-07,,,,,,,,
2025-10-06,,,,,,,,
2025-10-05,,,,,,,,
2025-10-04,,,,,,,,
2025-10-03,,,,,,,,
2025-10-02,,,,,,,,
2025-10-01,1.95,0.00,0.00,0.00,0.00,1.95,1.95,1
2025-09-30,,,,,,,,
2025-09-29,,,,,,,,
2025-09-28,,,,,,,,
2025-09-27,8.00,0.00,0.00,0.00,0.00,8.00,8.00,2
2025-09-26,4.00,0.00,0.00,0.00,0.00,4.00,4.00,1
2025-09-25,,,,,,,,
2025-09-24,,,,,,,,
2025-09-23,,,,,,,,
2025-09-22,,,,,,,,
2025-09-21,,,,,,,,
2025-09-20,,,,,,,,
2025-09-19,,,,,,,,
2025-09-18,,,,,,,,
2025-09-17,,,,,,,,
2025-09-16,,,,,,,,
2025-09-15,,,,,,,,
2025-09-14,,,,,,,,
2025-09-13,,,,,,,,
2025-09-12,,,,,,,,
2025-09-11,,,,,,,,
2025-09-10,,,,,,,,
2025-09-09,,,,,,,,
2025-09-08,,,,,,,,
2025-09-07,,,,,,,,
2025-09-06,,,,,,,,
2025-09-05,,,,,,,,
2025-09-04,,,,,,,,
2025-09-03,,,,,,,,
2025-09-02,,,,,,,,
2025-09-01,,,,,,,,
2025-08-31,,,,,,,,
2025-08-30,,,,,,,,
2025-08-29,,,,,,,,
2025-08-28,,,,,,,,
2025-08-27,,,,,,,,
2025-08-26,,,,,,,,
2025-08-25,,,,,,,,
2025-08-24,,,,,,,,
2025-08-23,,,,,,,,
2025-08-22,,,,,,,,
2025-08-21,,,,,,,,
2025-08-20,,,,,,,,
2025-08-19,,,,,,,,
2025-08-18,,,,,,,,
2025-08-17,,,,,,,,
2025-08-16,,,,,,,,
2025-08-15,,,,,,,,
2025-08-14,39.50,0.00,0.00,0.00,0.00,39.50,39.50,1
2025-08-13,,,,,,,,
2025-08-12,8.50,0.00,0.00,0.00,0.00,8.50,8.50,1
2025-08-11,,,,,,,,
,"140,959.67","3,533.73",0.00,263.46,0.00,"144,707.86","90,852.85","9,289"
